,id,name,selver_guess,price,selver_price,price/kg,selver_price_kg,similarity
12784,7239721,"Gin Strange Luve London Dry 40%vol 0,7l","Džinn TOHI London Dry Ginger & Sichuan Pepper, 50 cl",18.99,35.9,27.13,71.8,59
12204,7237190,Ballooni fooliumi number 1 seisab 74 CM,"Potiümbris Adonis , 14 cm",5.99,1.69,5.99,1.69,59
3971,1005291,Vadakuvalk 80 šokolaadi IconFit 1kg,"Šokolaadi proteiinivahvel, NICKS, 40 g",23.49,2.39,23.49,59.75,59
4904,168779,Biskviitküpsised Milka Cake&Choc 175g,"Barni maasika biskviitküpsis, BARNI, 150 g",2.75,1.59,15.71,10.6,59
12230,783994,Noad keraamika Acura 19cm,"Õuna-rabarberijook, AURA, 1 L",13.69,1.59,13.69,1.59,59
4013,160684,Glasuur valge&musta šokol.Dr.Oetker 100g,"Valge šokolaad õhitud riisi ja mustikaga, KALEV, 200 g",1.69,2.29,16.9,11.45,59
4784,155750,Mahekartulikrõpsud soolased I Love Eco 175g,"Hapukooremaitseline kartulikrõps, LAY'S, 215 g",2.35,3.19,13.43,14.84,59
7857,801222,Kassisööt Purrrfect kanaga konserv 415g,"Poke'-kauss kanaga, SELVERI KÖÖK, 350 g",0.84,5.49,2.02,15.69,59
4027,141035,Mannavahupulber jõhvika Mikaado Mannike 200g,"Jõhvikamaitseline kissellipulber, MIKAADO, 170 g",1.85,1.59,9.25,9.35,59
12769,7137356,"Vein 3 Passo Rosso Organic 0,75l",Zensa Primitivo Organic 75 cl,11.59,10.99,15.45,14.65,59
12244,7169932,L.skp.Bellissima Luna 15 natur 12/14 2pr,"Naiste sukkpüksid Basic 20 den, Bellissima, miele 4",4.49,3.49,4.49,3.49,59
12190,7103763,Mikrofiiberlapp,"Mikrofiiber lapid, VILEDA, 4 tk",2.95,8.99,2.95,2.25,59
3895,197639,Kaste napoletna Gustibus 400g,"BBQ kaste, SALVEST, 390g",2.79,2.29,6.97,5.87,59
12841,7068225,"Kpn.vein Ruppertsberger Riesling 0,75l",Winzer Krems Sandgrube Riesling 75 cl,8.99,10.99,11.99,14.65,59
12805,106073,"Kpn.kv.v.vein Cava Jaume Serra Brut 0,75l",Segura Viudas Cava Brut Reserva 75 cl,8.99,10.99,11.99,14.65,59
3825,803227,Kirsi ekstra džemm Rimi 450g,"Margariin Extra 39%, DELMA, 450 g",3.29,1.99,7.31,4.42,59
12141,7251753,Patarei Energizer Lithium CR2025 BP2 2tk,"Patareid Max liitium CR2032, KODAK, 2 tk",3.29,1.19,1.65,0.6,59
3834,805793,Aprikoosipooled siirupis ICA 410g,"Maasikad siirupis, GREEN, 160g",1.89,1.99,7.88,4.85,59
12828,805235,"Vein Bellissimo White Semi Sweet 0,75l",Dreamer Sweet White 100 cl,4.99,4.99,6.65,4.99,59
3852,194418,Seesam must ja valge Gourmet Studio 50g,"Meresoolahelbed, MALDON GOURMET, 250 g",2.85,4.79,57.0,19.16,59
5118,173482,Tume šokolaad vaarikatükkidega Pergale 93g,"Tume šokolaad metsapähklitega, KALEV, 300 g",1.49,4.99,16.02,16.63,59
10804,7221208,Plastikust toidukonteiner 1.8L,"Purgikaaned plastikust, 10 tk",4.19,1.79,4.19,0.18,59
3857,812116,"Maasikamoos ICA Basic 1,5 kg","Maasikamoos, KÜLLUS, 400 g",6.59,3.59,4.39,8.98,59
10803,7044498,Termos ICA C&E 0.8l,"Termos 1l, DAY, 1 tk",24.49,17.99,24.49,17.99,59
7898,7249982,"Koerte kuivtoit NOOD veisega 2,9 kg","Kuivtoit täiskasvanud koertele looma- ja linnulihaga, PEDIGREE, 2,6 kg",12.99,8.99,4.48,3.46,59
5083,177161,Närimiskommid Wild Berry Skittles 125g,"Närimiskumm Blueberry, ORBIT, 14 g",1.95,0.65,15.6,46.43,59
12175,7277124,Kohvifiltrid Vigo! 100tk AW22,"Kohvifilter  nr4, LINDNER, 100 tk",2.49,1.29,0.02,0.01,59
12179,7236854,Salvrätikud šampanja 1/8volditav 33x33cm,"Salvrätikud, 3-kihilised 33x33cm, SMILE, 20 tk",1.49,1.69,1.49,0.08,59
7894,812771,"Kassieine Nutribalance steri. kassidele 0,8kg","Purina one steriliseer kassile, PURINA ONE, 800 g",5.19,6.19,6.49,7.74,59
5020,809209,Karamellid homaarid Rimi Basic 100g,"Karamelli Panna Cotta, FARMI, 150 g",0.63,0.99,6.3,6.6,59
6019,160571,Tee roheline tsitruse Lipton 25pk,"Roheline jäätee tsitrusega, FUZETEA, 1,5 L",2.25,1.99,68.18,1.33,59
8275,7160367,Hambahari-taimer Lotte,"Hambahari Target White Soft, JORDAN, 1 tk",5.29,2.59,5.29,2.59,59
13719,1371160,"Õlu Õllenaut IPA 4,2%vol 0,5l purk","Õlu  Hele, ÕLLENAUT, 500 ml",2.39,1.99,4.78,3.98,59
584,980717,Tšillipipra mix Rawit Bird’s eye 50g,"Tšillipipar Red Hot, helbed, 28g, SANTA MARIA",2.19,2.09,43.8,74.64,59
7176,7259033,Lutid PA 0-6k 2tk pingv./linnuke tüdruk.,"Helendav öölutt 0-6k sinine, MAM, 2 tk",9.99,8.99,5.0,4.5,59
2171,948392,Naturaalne kaeravahepala Oatly 1l,"Oatfit kaerasüda kaerapala, LEIBUR, 250 g",3.59,1.89,3.59,7.56,59
7486,7189276,Joogipudel lastele Philips Avent 300ml,"Tass kõrrega 12+m, PHILIPS AVENT, 300ml",11.09,12.99,11.09,12.99,59
6847,986069,"Tomato juice drink BLOODY MARY, 250ml","Maitsestatud tomatimahlajook ""Bloody Mary Virgin"", DIMDINI, 250 ml",1.85,1.99,0.0,7.96,59
13811,102203,"Liköör Jägermeister 35% 0,5l","Ürdiliköör PIRITA, 35 cl",14.99,5.99,0.0,17.11,59
11569,7178544,WC puhast. Bref Exc.Gel Dirt Prot. 700ml,"WC-poti puhastusvahend Max, HARPIC, 750 ml",3.59,3.79,5.13,5.05,59
13271,7030846,"Gt.vein Eagle Creek Red Zinfandel 0,75l",Beringer Zinfandel Rose 75 cl,7.59,7.99,10.12,10.65,59
11567,683744,Aknapesuvedelik Ajax floral täide 750ml,"Klaasipesuvedelik Roheline Tee, GOLD DROP, 750 ml",2.99,2.79,3.99,3.72,59
9647,401294,Püsivärv L'oreal Excellence Crème N°10,"Poolpüsivärv Casting Creme 200, L´OREAL, 1 tk",9.59,11.99,9.59,11.99,59
7156,7142564,L.skp.Bellissima B403 hall-roosa 134/140,"Naiste sukkpüksid Special 40 den nero 1/2, BELLISSIMA",6.99,2.49,6.99,2.49,59
7136,7250689,"Niisked beebisalvrätid WATER WIPES,60tk","HULGI Beebisalvrätid 4tk, NEUTRAL, 4 x 63tk",4.99,10.0,0.08,0.04,59
6864,7240495,Laste sokid I Love Eco 3 paari 25-27,"Naiste sokid 20 den, 2-paari nero, POMPEA, Üks suurus",4.99,4.99,4.99,2.5,59
9880,666042,Pesukaitse Libresse Classic Regular 1mm 50tk,"Pesukaitse DailyFresh So Slim, LIBRESSE, 30 tk",2.39,2.29,0.05,0.08,59
1485,803852,Jäägrivorstid kuumsuitsu Rimi 350g,"Grillvorstid Jäägri, NÕO, 365 g",1.85,3.99,5.29,10.93,59
7414,7274522,Nukk LOL Surprise 707 AW22,"Present Surprise nukk, L.O.L, 1 tk",19.99,24.9,19.99,24.9,59
6868,7240518,Laste sokid I Love Eco 3 paari 25-27,"Naiste sokid 20 den, 2-paari nero, POMPEA, Üks suurus",4.99,4.99,4.99,2.5,59
7133,7159452,Mänguasi mudelauto Welly 4.75,"Mudelautod, HOT WHEELS, 5 tk",12.09,13.49,12.09,13.49,59
11542,734351,Õhuvärskendaja Wb Sport,"Õhuvärskendaja täide, AIR WICK, 250 ml",1.65,7.99,1.65,31.96,59
2104,812683,"Seakeeled Rimi, kg","Selveri äkiline, kg",3.84,22.9,0.0,22.9,59
6909,813292,Püree I Love Eco õun-mango-ban.-gra. 90g,"Mangopüree hirsiga 4+ Öko, PÕNN, 130 g",0.99,1.39,11.0,10.69,59
6910,810936,Püree I Love Eco pirn-mango 6k 120g,"Pirni- ja õunapüree mahe 4+, HIPP, 100 g",1.09,1.59,9.08,15.9,59
2082,266939,Lõhefilee Dijon marinaadis Rimi kg,"Ribi marinaadis, SELVER, kg",6.4,10.49,0.0,10.49,59
2081,812522,Merekapsas Rimi surimiga 250g,"Kreemjas mesi, SIRELI, 250g",1.39,3.39,0.0,13.56,59
11397,7112183,Köögikaal CAMRY 8810 5kg,"Köögikaal, ETA, 1tk",19.99,16.99,19.99,16.99,59
1487,805282,Broileri koib koos seljaosaga Rimi kg,"Broilerikintsud seljata, RANNAMÕISA, 500g",2.03,2.99,3.39,5.98,59
578,920740,Hüatsint 9cm potis,"Potiroos mix, 10cm,",1.59,8.99,1.59,8.99,59
13296,7239593,"Gin Junimperium Blended Dry 45%vol 0,7l","Juuksevärv Olia 7.0 Dark Blonde, GARNIER, 1 tk",45.99,4.99,65.7,4.99,59
1506,209356,Võileivamari punane Sudrablinis 100g,"Surimist pulgad, VICI, 150 g",1.59,1.29,15.9,8.6,59
